Crop,N,P,K,pH,soil_moisture,Fertilizer
groundnut,25,61,64,6.5,55,Gypsum + SSP
sugarcane,141,55,115,7.0,70,Urea + DAP + Potash
banana,193,52,293,6.8,75,Urea + MOP + Organic Manure
banana,199,48,310,7.0,77,Urea + MOP + Organic Manure
tomato,106,56,90,6.2,61,Urea + DAP + Potash
sugarcane,141,57,114,6.8,70,Urea + DAP + Potash
cotton,77,31,102,7.3,54,Ammonium Sulphate + SSP + MOP
tomato,115,61,110,6.6,63,Urea + DAP + Potash
cotton,84,34,104,7.3,49,Ammonium Sulphate + SSP + MOP
banana,194,42,294,7.0,75,Urea + MOP + Organic Manure
sugarcane,151,56,115,6.8,65,Urea + DAP + Potash
tomato,117,54,109,6.9,55,Urea + DAP + Potash
pulses,48,74,37,6.7,55,Organic Manure + SSP
banana,194,55,298,7.1,70,Urea + MOP + Organic Manure
pulses,44,73,35,6.2,57,Organic Manure + SSP
cotton,77,31,108,7.3,49,Ammonium Sulphate + SSP + MOP
pulses,41,70,22,6.8,51,Organic Manure + SSP
groundnut,21,70,58,6.4,54,Gypsum + SSP
rice,93,50,85,6.7,66,Urea + DAP + MOP
tomato,104,65,110,6.2,62,Urea + DAP + Potash
pulses,39,64,24,6.2,60,Organic Manure + SSP
pulses,33,68,27,6.3,54,Organic Manure + SSP
potato,144,95,125,6.1,61,Urea + DAP + MOP
tomato,105,59,101,6.8,64,Urea + DAP + Potash
maize,107,67,67,6.1,61,Urea + DAP + Potash
wheat,111,60,33,7.2,53,Urea + SSP + MOP
rice,87,58,79,6.6,67,Urea + DAP + MOP
groundnut,28,51,57,6.1,49,Gypsum + SSP
wheat,112,56,50,7.2,58,Urea + SSP + MOP
potato,145,96,124,6.5,65,Urea + DAP + MOP
potato,145,100,113,6.2,65,Urea + DAP + MOP
groundnut,30,62,55,6.4,45,Gypsum + SSP
groundnut,21,51,62,5.6,54,Gypsum + SSP
pulses,36,62,34,6.7,55,Organic Manure + SSP
rice,81,58,86,6.3,61,Urea + DAP + MOP
rice,95,69,87,6.9,67,Urea + DAP + MOP
banana,200,41,304,6.6,74,Urea + MOP + Organic Manure
wheat,123,50,47,7.0,50,Urea + SSP + MOP
groundnut,28,54,58,6.3,48,Gypsum + SSP
wheat,133,56,33,6.8,58,Urea + SSP + MOP
maize,97,67,73,6.8,57,Urea + DAP + Potash
